username, password, displayname, admin
Simon,Simon123,Sushi,0
Jonatan,Jonatan123,Darre,0
Johan,Johan123,Silverback,0
Tim,Tim123,SussyTim,0
Alexander,Alexander123,Skorpan,0
Victor,Victor123,GrillBritt,0
Wictor,Wictor123,Manakin,0
Bob,Bob123,Borre,0
Kim,Kim123,EdgeLord,0
Adam,Adam123,Storsupan,0
Erick,Erick123,Pricken,0
Banjo,Banjo123,Hjördis,0
Bice,Bice123,Wirre,0
David,David123,Dave,0
Daniel,Daniel123,Danne,0
Roger,Roger123,Roggan,0
Taffan,Taffan123,Tiffany,0
Nikki,Nikki123,Rockarn,0
Lucas,Lucas123,Gallis,0
admin,admin,Admin,1
